[21-42-49] [ENTRY]: [Nathan]
[21-42-49] [SYSTEM_IO]: System data pared in IOUtil's static block
[21-42-50] [LOGIN]: [AUTOCYPHER ATTEMPT]
[21-42-50] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[21-42-51] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[21-42-51] [SYSTEM_IO]: Userdata requested: Name
[21-42-51] [SYSTEM_IO]: Userdata requested: RandomBackground
[21-42-51] [SYSTEM_IO]: Userdata requested: FullScreen
[21-42-52] [SYSTEM_IO]: Userdata requested: Name
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: FullScreen
[21-42-52] [SYSTEM_IO]: Userdata requested: FullScreen
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Font
[21-42-52] [SYSTEM_IO]: Userdata requested: OutputBorder
[21-42-52] [SYSTEM_IO]: Userdata requested: FullScreen
[21-42-52] [SYSTEM_IO]: Userdata requested: InputBorder
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Foreground
[21-42-52] [SYSTEM_IO]: Userdata requested: Font
[21-42-52] [SYSTEM_IO]: Userdata requested: OutputFill
[21-42-52] [SYSTEM_IO]: Userdata requested: InputFill
[21-42-52] [SYSTEM_IO]: Userdata requested: consolepinned
[21-42-52] [SYSTEM_IO]: Userdata requested: consolepinned
[21-42-52] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 378, 600, 600)], hash = [1164869736], parentFrame = [No associated frame], associated text = [No getText() method found]
[21-42-52] [ACTION]: Console loaded in 3701ms
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1027
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1028
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1030
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1032
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1033
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 890,1035
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 889,1036
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 889,1038
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 887,1038
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 887,1040
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 887,1041
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 885,1043
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 885,1044
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 884,1048
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 884,1049
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 882,1051
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 882,1053
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 880,1054
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 880,1056
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 879,1057
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 879,1059
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 877,1059
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 876,1061
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 874,1061
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 874,1060
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 872,1060
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 872,1058
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 871,1057
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 871,1055
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 869,1055
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 869,1054
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 868,1050
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 868,1049
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 868,1047
[21-43-00] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 868,1045
[21-43-06] [ACTION]: CyderFrame disposed with fastclose: false, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(1417, 223, 940, 1120)], hash = [877078390], parentFrame = [No associated frame], associated text = [No getText() method found]
[21-43-06] [SYSTEM_IO]: Userdata requested: closeanimation
[21-43-08] [CLIENT]: conway
[21-43-08] [ACTION]: CONWAYS
[21-43-10] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(254, 0, 40, 40)], hash = [831940888], parentFrame = [Conway's Game of Life], associated text = [▼]
[21-43-10] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(254, 0, 40, 40)], hash = [831940888], parentFrame = [Conway's Game of Life], associated text = [▼]
[21-43-11] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 630,1056
[21-43-11] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(20, 1002, 294, 40)], hash = [1050989772], parentFrame = [Conway's Game of Life], associated text = [Reset]
[21-43-11] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(630, 1056, 294, 40)], hash = [1656202459], parentFrame = [Conway's Game of Life], associated text = [Set Preset]
[21-43-12] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 328,1004
[21-43-12] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 327,1004
[21-43-12] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 327,1002
[21-43-12] [CONSOLE_OUT]: [STRING] [DEBUG PRINT] 327,1003
[21-43-12] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(327, 1003, 294, 40)], hash = [1031243102], parentFrame = [Conway's Game of Life], associated text = [Stop]
[21-43-16] [ACTION]: Component name = [cyder.ui.CyderButton], bounds = [(20, 1002, 294, 40)], hash = [1050989772], parentFrame = [Conway's Game of Life], associated text = [Reset]
[21-43-17] [ACTION]: CyderFrame disposed with fastclose: false, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(1417, 223, 940, 1120)], hash = [177996195], parentFrame = [No associated frame], associated text = [No getText() method found]
[21-43-17] [SYSTEM_IO]: Userdata requested: closeanimation
[21-43-18] [SYSTEM_IO]: Userdata requested: minimizeonclose
[21-43-18] [SYSTEM_IO]: Userdata requested: Name
[21-43-18] [LOGOUT]: [Nathan]
[21-43-18] [ACTION]: CyderFrame disposed with fastclose: false, CyderFrame: Component name = [cyder.ui.ConsoleFrame], bounds = [(1395, 291, 984, 984)], hash = [126189538], parentFrame = [No associated frame], associated text = [No getText() method found]
[21-43-18] [SYSTEM_IO]: Userdata requested: closeanimation
[21-43-18] [SYSTEM_IO]: Userdata requested: Background
[21-43-18] [EXIT]: [RUNTIME] 29s
[21-43-18] [EOL]: Log completed, exiting Cyder with exit code: 25 [Genesis Controlled Exit], exceptions thrown: 0
