[16-50-57] [ENTRY]: [Nathan]
[16-50-57] [SYSTEM_IO]: System data pared in IOUtil's static block
[16-50-57] [SYSTEM_IO]: Suggestions pared in IOUtil's static block
[16-50-57] [SYSTEM_IO]: Exit conditions pared in IOUtil's static block
[16-50-57] [SYSTEM_IO]: DebugHashes pared in IOUtil's static block
[16-50-58] [ACTION]: User e5a50641-21d1-3654-b738-c0e4b2dc61b1 was found to have an outdated userdata.json; preference injection was attempted on the following: [compacttextmode=0]
[16-50-59] [LOGIN]: [AUTOCYPHER ATTEMPT]
[16-50-59] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[16-50-59] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: inputfill
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: clockonconsole
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: filterchat
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeonclose
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-13] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-13] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: compacttextmode
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-14] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-14] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-15] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-15] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-15] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-15] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-15] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-15] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-15] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-15] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-15] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-15] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-15] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-15] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: closeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
[16-51-17] [SYSTEM_IO]: Userdata requested: minimizeanimation
[16-51-17] [SYSTEM_IO]: Userdata requested: persistentnotifications
