[18-38-27] [ENTRY]: [Nathan]
[18-38-27] [SYSTEM_IO]: System data pared in IOUtil's static block
[18-38-27] [SYSTEM_IO]: Suggestions pared in IOUtil's static block
[18-38-27] [SYSTEM_IO]: Exit conditions pared in IOUtil's static block
[18-38-27] [SYSTEM_IO]: DebugHashes pared in IOUtil's static block
[18-38-29] [LOGIN]: [AUTOCYPHER ATTEMPT]
[18-38-29] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[18-38-30] [LOGIN]: [[AUTOCYPHER PASS]: e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-37] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-37] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-37] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: intromusic
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: inputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: debugwindows
[18-38-38] [SYSTEM_IO]: Userdata requested: inputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: hourlychimes
[18-38-38] [SYSTEM_IO]: Userdata requested: inputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-38] [SYSTEM_IO]: Userdata requested: randombackground
[18-38-38] [SYSTEM_IO]: Userdata requested: hourlychimes
[18-38-39] [SYSTEM_IO]: Userdata requested: inputborder
[18-38-39] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-39] [SYSTEM_IO]: Userdata requested: silenceerrors
[18-38-39] [SYSTEM_IO]: Userdata requested: hourlychimes
[18-38-39] [SYSTEM_IO]: Userdata requested: inputborder
[18-38-39] [SYSTEM_IO]: Userdata requested: outputborder
[18-38-39] [SYSTEM_IO]: Userdata requested: silenceerrors
[18-38-39] [SYSTEM_IO]: Userdata requested: hourlychimes
[18-38-39] [SYSTEM_IO]: Userdata requested: inputborder
[18-38-39] [SYSTEM_IO]: Userdata requested: fullscreen
[18-38-39] [SYSTEM_IO]: Userdata requested: silenceerrors
[18-38-39] [SYSTEM_IO]: Userdata requested: hourlychimes
[18-38-39] [SYSTEM_IO]: Userdata requested: inputborder
[18-38-39] [SYSTEM_IO]: Userdata requested: fullscreen
[18-38-39] [SYSTEM_IO]: Userdata requested: silenceerrors
[18-38-39] [SYSTEM_IO]: Userdata requested: hourlychimes
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: fullscreen
[18-38-39] [SYSTEM_IO]: Userdata requested: silenceerrors
[18-38-39] [SYSTEM_IO]: Userdata requested: hourlychimes
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: fullscreen
[18-38-39] [SYSTEM_IO]: Userdata requested: silenceerrors
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: fullscreen
[18-38-39] [SYSTEM_IO]: Userdata requested: silenceerrors
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: fullscreen
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: fullscreen
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: outputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: inputfill
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: clockonconsole
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-39] [SYSTEM_IO]: Userdata requested: minimizeonclose
[18-38-39] [SYSTEM_IO]: Userdata requested: filterchat
[18-38-40] [SYSTEM_IO]: Userdata requested: minimizeonclose [8x]
[18-38-45] [PREFERENCE REFRESH INVOKED]: key = roundedwindows [6x]
[18-38-48] [PREFERENCE REFRESH INVOKED]: key = capsmode [2x]
[18-38-55] [ACTION]: Component name = [cyder.ui.DragLabel], bounds = [(2, 2, 896, 28)], hash = [1249915862], parentFrame = [Preferences], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [No getTitle() method found]
[18-38-55] [ACTION]: CyderFrame disposed with fastclose: false, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(570, 387, 900, 580)], hash = [619625976], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Preferences]
[18-38-55] [SYSTEM_IO]: Userdata requested: closeanimation
[18-38-55] [SYSTEM_IO]: Userdata requested: minimizeanimation
[18-38-56] [SYSTEM_IO]: Userdata requested: Background
[18-40-20] [EOL]: Log completed, Cyder crashed unexpectedly: exit code: -200 [External Stop], exceptions thrown: 0
