[22-13-14] [ENTRY]: [Nathan]
[22-13-14] [SYSTEM_IO]: System data pared in IOUtil's static block
[22-13-15] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[22-13-15] [LOGIN]: [AUTOCYPHER ATTEMPT]
[22-13-16] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[22-13-16] [SYSTEM_IO]: Userdata requested: Name
[22-13-17] [SYSTEM_IO]: Userdata requested: RandomBackground
[22-13-17] [SYSTEM_IO]: Userdata requested: FullScreen
[22-13-17] [SYSTEM_IO]: Userdata requested: Name
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: FullScreen
[22-13-17] [SYSTEM_IO]: Userdata requested: FullScreen
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Font
[22-13-17] [SYSTEM_IO]: Userdata requested: OutputBorder
[22-13-17] [SYSTEM_IO]: Userdata requested: FullScreen
[22-13-17] [SYSTEM_IO]: Userdata requested: InputBorder
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Foreground
[22-13-17] [SYSTEM_IO]: Userdata requested: Font
[22-13-17] [SYSTEM_IO]: Userdata requested: OutputFill
[22-13-17] [SYSTEM_IO]: Userdata requested: InputFill
[22-13-17] [SYSTEM_IO]: Userdata requested: consolepinned
[22-13-17] [SYSTEM_IO]: Userdata requested: consolepinned
[22-13-18] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 378, 600, 600)], hash = [2035617160], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[22-13-18] [ACTION]: Console loaded in 4136ms
[22-13-18] [SYSTEM_IO]: Userdata requested: windowlocx
[22-13-18] [SYSTEM_IO]: Userdata requested: windowlocy
[22-13-18] [SYSTEM_IO]: Userdata requested: DebugWindows
[22-13-18] [ENTRY]: [TESTING MODE]
[22-13-18] [SYSTEM_IO]: Userdata requested: laststart
[22-13-18] [SYSTEM_IO]: Userdata requested: IntroMusic
[22-13-18] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 4136ms
[22-13-18] [SYSTEM_IO]: Userdata requested: persistentnotifications
[22-13-20] [CONSOLE_OUT]: [STRING] CyderStrings:     //instantiation of a static class message
[22-13-20] [CONSOLE_OUT]: [STRING] ConsoleFrame:      *                  font style. You may pass combinations of font
[22-13-20] [CONSOLE_OUT]: [STRING] CyderCheckboxGroup:      * Finds how many buttons are associated with this button group
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param cyderPanel the CyderPanel with associated CyderLayout
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param viewDuration the time in ms the notification should be visible for. Pass in 0
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param viewDuration the time in ms the notification should be visible for. Pass in 0
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      *        to be auto calculated based on word count, pass in -1 to persist indefinitely until the user clicks
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param container container to show on the notification instead of the typical text, pass null to ignore
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param viewDuration the time in ms the notification should be visible for. Pass in 0
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      *        to be auto calculated based on word count, pass in -1 to persist indefinitely until the user clicks
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param container container to show on the notification instead of the typical text, pass null to ignore
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @param notificationBackground the color to set the notification background to. Pass null for default
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * Removes all currently displayed notifications and wipes the notification queue.
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * Getter for the top drag label associated with this CyderFrame instance. Used for frame resizing.
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @return The associated DragLabel
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * Getter for the bottom drag label associated with this CyderFrame instance. Used for frame resizing.
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @return The associated DragLabel
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * Getter for the left drag label associated with this CyderFrame instance. Used for frame resizing.
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @return The associated DragLabel
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * Getter for the right drag label associated with this CyderFrame instance. Used for frame resizing.
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * @return The associated DragLabel
[22-13-20] [CONSOLE_OUT]: [STRING] CyderFrame:      * Kills all threads associated with this CyderFrame instance. An irreversible action. This
[22-13-20] [CONSOLE_OUT]: [STRING] CyderLabel:                                 //first we need to pass as many raw chars
[22-13-20] [CONSOLE_OUT]: [STRING] CyderScrollPane:      * Class extending the BasicScrollBarUI and overrides all necessary methods
[22-13-20] [CONSOLE_OUT]: [STRING] CyderSliderUI:         // Call superclass method for lower thumb location.
[22-13-20] [CONSOLE_OUT]: [STRING] DragLabel:  * Class to be used for CyderFrames, the parent is expected to be an instance of CyderFrame
[22-13-20] [CONSOLE_OUT]: [STRING] AnimationUtil:         //assign ret[0] to delay
[22-13-21] [CONSOLE_OUT]: [STRING] AnimationUtil:         //assign ret[1] to inc
[22-13-21] [CONSOLE_OUT]: [STRING] GetterUtil:      * Any frames shown through this class are set relative to the {@code relativeFrame}
[22-13-21] [CONSOLE_OUT]: [STRING] IOUtil:             //now fix userdata associated with the logs
[22-13-21] [CONSOLE_OUT]: [STRING] StatUtil:      * Finds the number of java comments associated with all .java files
[22-13-21] [CONSOLE_OUT]: [STRING] StatUtil:      * Finds the number of blank lines associated with .java files within the provided start directory
[22-13-21] [CONSOLE_OUT]: [STRING] StringUtil:      * @param num the number of items associated with the word
[22-13-21] [CONSOLE_OUT]: [STRING] SystemUtil:      * Confirms whether or not the command is valid. e.g. pass "python" or "ffmpeg" and if the returned value is false,
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:     //the semaphore to use when reading or writing from/to a JSON file
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:      * Assuming the corresponding getter and setter functions exist in User.java,
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:      * @return boolean describing whether or not the provided uuid assocaited with a cyder user is currently logged in
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:                                                 // and the last login tag we find has their uuid associated wit hit
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:      * Checks whether or not the given name/pass combo is valid and if so, sets the
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:      * @param hashedPass the already once SHA256 hashed password
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:      * @return whether or not the name/pass combo was valid
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:             // if so, we're fucked so delete the file
[22-13-21] [CONSOLE_OUT]: [STRING] UserUtil:      * which user it was by listing the files associated with the corrupted user.
[EXTERNAL STOP] Cyder was force closed by an external entity such as an IDE stop or the OS' Task Manager
