[13-37-17] [ENTRY]: [Nathan]
[13-37-17] [SYSTEM_IO]: System data pared in IOUtil's static block
[13-37-20] [LOGIN]: [AUTOCYPHER ATTEMPT]
[13-37-20] [JAVA ARGS]: [LOCATION] [La casa de Nathan]
[13-37-21] [LOGIN]: [AUTOCYPHER PASS, e5a50641-21d1-3654-b738-c0e4b2dc61b1]
[13-37-21] [SYSTEM_IO]: Userdata requested: Name
[13-37-21] [SYSTEM_IO]: Userdata requested: RandomBackground
[13-37-21] [SYSTEM_IO]: Userdata requested: FullScreen
[13-37-22] [SYSTEM_IO]: Userdata requested: Name
[13-37-22] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-22] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-22] [SYSTEM_IO]: Userdata requested: FullScreen
[13-37-22] [SYSTEM_IO]: Userdata requested: FullScreen
[13-37-22] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-22] [SYSTEM_IO]: Userdata requested: Font
[13-37-23] [SYSTEM_IO]: Userdata requested: OutputBorder
[13-37-23] [SYSTEM_IO]: Userdata requested: FullScreen
[13-37-23] [SYSTEM_IO]: Userdata requested: InputBorder
[13-37-23] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-23] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-23] [SYSTEM_IO]: Userdata requested: Foreground
[13-37-23] [SYSTEM_IO]: Userdata requested: Font
[13-37-23] [SYSTEM_IO]: Userdata requested: OutputFill
[13-37-23] [SYSTEM_IO]: Userdata requested: InputFill
[13-37-23] [SYSTEM_IO]: Userdata requested: consolepinned
[13-37-23] [SYSTEM_IO]: Userdata requested: consolepinned
[13-37-23] [ACTION]: CyderFrame disposed with fastclose: true, CyderFrame: Component name = [cyder.ui.CyderFrame], bounds = [(980, 378, 600, 600)], hash = [1273648137], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Cyder Splash]
[13-37-23] [ACTION]: Console loaded in 6021ms
[13-37-23] [SYSTEM_IO]: Userdata requested: windowlocx
[13-37-23] [SYSTEM_IO]: Userdata requested: windowlocy
[13-37-23] [SYSTEM_IO]: Userdata requested: DebugWindows
[13-37-23] [ENTRY]: [TESTING MODE]
[13-37-23] [SYSTEM_IO]: Userdata requested: laststart
[13-37-23] [SYSTEM_IO]: Userdata requested: IntroMusic
[13-37-23] [ACTION]: [Stellar Cyder [Nathan]] [NOTIFICATION] Console loaded in 6021ms
[13-37-23] [SYSTEM_IO]: Userdata requested: persistentnotifications
[13-37-25] [CONSOLE_OUT]: [STRING] CyderStrings:     //instantiation of a static class message
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * Getter for the right drag label associated with this CyderFrame instance. Used for frame resizing.
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * @return The associated DragLabel
[13-37-26] [CONSOLE_OUT]: [STRING] CyderFrame:      * Kills all threads associated with this CyderFrame instance. An irreversible action. This
[13-37-26] [CONSOLE_OUT]: [STRING] CyderLabel:                     //charSum is how many chars we have passed of the Text tagged string
[13-37-26] [CONSOLE_OUT]: [STRING] CyderLabel:                                 //first we need to pass as many raw chars
[13-37-26] [CONSOLE_OUT]: [STRING] CyderProgressUI:                 //the amount the progress bar should be filled by with the proper parameters passed
[13-37-26] [CONSOLE_OUT]: [STRING] CyderProgressUI:                 //the amount the progress bar should be filled by with the proper parameters passed
[13-37-26] [CONSOLE_OUT]: [STRING] CyderScrollPane:      * Class extending the BasicScrollBarUI and overrides all necessary methods
[13-37-26] [CONSOLE_OUT]: [STRING] CyderScrollPane:         //invisible buttons to hide scroll bar buttons - inner class
[13-37-26] [CONSOLE_OUT]: [STRING] CyderSliderUI:         // Call superclass method for lower thumb location.
[13-37-26] [CONSOLE_OUT]: [STRING] DragLabel:  * Class to be used for CyderFrames, the parent is expected to be an instance of CyderFrame
[13-37-26] [CONSOLE_OUT]: [STRING] AnimationUtil:         //assign ret[0] to delay
[13-37-26] [CONSOLE_OUT]: [STRING] AnimationUtil:         //assign ret[1] to inc
[13-37-26] [CONSOLE_OUT]: [STRING] BoundsUtil:     //inner classes and enums
[13-37-26] [CONSOLE_OUT]: [STRING] GetterUtil:      * Any frames shown through this class are set relative to the {@code relativeFrame}
[13-37-26] [CONSOLE_OUT]: [STRING] ImageUtil:      * Returns the passed background file accounting for set rotate direction. For example, if the direction
[13-37-26] [CONSOLE_OUT]: [STRING] IOUtil:      * Logs any possible command line arguments passed in to Cyder upon starting.
[13-37-26] [CONSOLE_OUT]: [STRING] IOUtil:      * @param cyderArgs command line arguments passed in
[13-37-26] [CONSOLE_OUT]: [STRING] IOUtil:      * Changes the current user from console frame's password to the provided password
[13-37-26] [CONSOLE_OUT]: [STRING] IOUtil:      * @param newPassword the raw char[] new password to hash and store
[13-37-26] [CONSOLE_OUT]: [STRING] IOUtil:             //now fix userdata associated with the logs
[13-37-26] [CONSOLE_OUT]: [STRING] IOUtil:     //system data class
[13-37-26] [CONSOLE_OUT]: [STRING] IOUtil:         //inner classes
[13-37-26] [CONSOLE_OUT]: [STRING] IPUtil:     //IPData inner class
[13-37-26] [CONSOLE_OUT]: [STRING] ReflectionUtil:      * A common method utilized by near all top-level Cyder classes as the overridden logic for their toString() methods
[13-37-26] [CONSOLE_OUT]: [STRING] ReflectionUtil:      * @return the String representation for the provided object detailing the classname, hashcode, and reflected data
[13-37-26] [CONSOLE_OUT]: [STRING] StatUtil:      * Finds the number of java comments associated with all .java files
[13-37-26] [CONSOLE_OUT]: [STRING] StatUtil:      * Finds the number of blank lines associated with .java files within the provided start directory
[13-37-26] [CONSOLE_OUT]: [STRING] StringUtil:      * @param num the number of items associated with the word
[13-37-26] [CONSOLE_OUT]: [STRING] SystemUtil:      * @return returns the system property for the passed requested property if it is valid
[13-37-26] [CONSOLE_OUT]: [STRING] SystemUtil:      * Confirms whether or not the command is valid. e.g. pass "python" or "ffmpeg" and if the returned value is false,
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:     //the semaphore to use when reading or writing from/to a JSON file
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:      * Assuming the corresponding getter and setter functions exist in User.java,
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:      * @return boolean describing whether or not the provided uuid assocaited with a cyder user is currently logged in
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:                                                 // and the last login tag we find has their uuid associated wit hit
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:      * Checks whether or not the given name/pass combo is valid and if so, sets the
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:      * @param hashedPass the already once SHA256 hashed password
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:      * @return whether or not the name/pass combo was valid
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:             //loop through all users and extract the name and password fields
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:             // if so, we're fucked so delete the file
[13-37-26] [CONSOLE_OUT]: [STRING] UserUtil:      * which user it was by listing the files associated with the corrupted user.
[13-37-26] [CONSOLE_OUT]: [STRING] PathFinderWidget:     //node class
[13-37-26] [CONSOLE_OUT]: [STRING] PerlinWidget:                         //green grass
[13-37-28] [SYSTEM_IO]: Userdata requested: minimizeonclose
[13-37-28] [SYSTEM_IO]: Userdata requested: Name
[13-37-28] [LOGOUT]: [Nathan]
[13-37-28] [ACTION]: CyderFrame disposed with fastclose: false, CyderFrame: Component name = [cyder.ui.ConsoleFrame], bounds = [(1174, 109, 800, 1053)], hash = [1147805316], parentFrame = [Object itself is the top level frame], associated text = [No getText() method found], tooltip text = [No getTooltipText() method found], title = [Stellar Cyder [Nathan]]
[13-37-28] [SYSTEM_IO]: Userdata requested: closeanimation
[13-37-28] [SYSTEM_IO]: Userdata requested: Background
[13-37-29] [EXIT]: [RUNTIME] 11s
[13-37-29] [EOL]: Log completed, exiting Cyder with exit code: 25 [Genesis Controlled Exit], exceptions thrown: 0
[13-37-29] [EXIT]: [RUNTIME] 11s
[13-37-29] [EOL]: Log completed, exiting Cyder with exit code: 120 [Final Frame Disposed], exceptions thrown: 0
