[00:49:44] [ENTRY]: [WINUSER=Nathan]
[00:49:45] [JAVA ARGS]: [LOCATION] [400 S. Monroe St. Tallahassee, FL]
[00:49:46] [LOGIN]: [AUTOCYPHER ATTEMPT]
[00:49:46] [LOGIN]: [AUTOCYPHER PASS]
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:51] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:52] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:53] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[00:49:54] [ACTION]: [SYSTEM AUDIO] sys/audio/Typing.mp3
[EXTERNAL STOP] Cyder was force closed by an external entity such as an IDE stop or the OS' Task Manager
