[21:30:04] [ENTRY]: [WINUSER=Nathan]
[21:30:04] [SYSTEM_IO]: [GET] [UISCALE] [RETURN VALUE] 1.0
[21:30:06] [CLIENT_IO]: [GET] [InputBorder] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] F0F0F0
[21:30:06] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] F0F0F0
[21:30:06] [CLIENT_IO]: [GET] [Foreground] [RETURN VALUE] F0F0F0
[21:30:06] [CLIENT_IO]: [GET] [Font] [RETURN VALUE] Agency FB
[21:30:06] [CLIENT_IO]: [GET] [OutputFill] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [InputFill] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [IntroMusic] [RETURN VALUE] 0
[21:30:06] [CLIENT_IO]: [GET] [DebugWindows] [RETURN VALUE] 0
[21:30:06] [SYSTEM_IO]: [GET] [MMAC] [RETURN VALUE] 5c486915459709261d6d9af79dd1be29fea375fe59a8392f64369d2c6da0816e
[21:30:06] [CLIENT]: test
[21:30:06] [CLIENT_IO]: [GET] [laststart] [RETURN VALUE] 1626920501647
[21:30:06] [CLIENT_IO]: [SET] [KEY] laststart [VALUE] 1626921006554
[21:30:09] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:12] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:15] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:18] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:21] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:24] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:27] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:30] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:33] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:36] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:39] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:42] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:45] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:48] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:51] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:54] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:30:57] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:00] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:03] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:06] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:09] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:12] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:15] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:18] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:21] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:24] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:27] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:30] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:33] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:36] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:39] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:42] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:45] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:48] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[21:31:51] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[EXTERNAL STOP] Cyder was force closed by an external entity such as an IDE stop or the OS' Task Manager
